GPU Type,Card Type,Price NFT,Community Spot,Community OnDemand,Secure Spot,Secure OnDemand
NVIDIA A100 80GB PCIe,Data Center,16250,0.6,1.19,0.82,1.64
NVIDIA GeForce RTX 3070,Consumer,250,0.07,0.13,,
NVIDIA GeForce RTX 3080,Consumer,400,0.09,0.17,,
NVIDIA GeForce RTX 3080 Ti,Consumer,500,0.09,0.18,,
NVIDIA GeForce RTX 3090,Consumer,700,0.11,0.22,0.22,0.43
NVIDIA GeForce RTX 4070 Ti,Consumer,700,0.1,0.19,,
NVIDIA GeForce RTX 4080,Consumer,1200,0.17,0.28,,
NVIDIA GeForce RTX 4090,Consumer,3500,0.2,0.34,0.35,0.69
NVIDIA H100 80GB HBM3,Data Center,28125,1.5,2.69,1.75,2.99
NVIDIA H100 NVL,Data Center,27000,1.4,2.59,1.65,2.79
NVIDIA L40S,Data Center,8250,0.4,0.79,0.52,1.03
NVIDIA RTX 4000 Ada Generation,Workstation,1500,0.1,0.2,0.19,0.38
NVIDIA RTX 5000 Ada Generation,Workstation,3500,0.25,0.49,,
NVIDIA RTX 6000 Ada Generation,Workstation,7600,0.4,0.74,0.44,0.88
NVIDIA RTX A2000,Workstation,300,0.06,0.12,,
NVIDIA RTX A4000,Workstation,500,0.09,0.17,0.16,0.32
NVIDIA RTX A4500,Workstation,600,0.1,0.19,0.18,0.34
NVIDIA RTX A5000,Workstation,800,0.11,0.22,0.22,0.36
NVIDIA RTX A6000,Workstation,2500,0.25,0.44,0.38,0.76
Tesla V100-PCIE-16GB,Data Center,800,0.1,0.19,,
Tesla V100-SXM2-32GB,Data Center,900,0.17,0.33,,
AMD Instinct MI300X OAM,Data Center,21250,,,2,2.99
NVIDIA A100-SXM4-80GB,Data Center,18750,,,0.95,1.89
NVIDIA A40,Data Center,8250,,,0.28,0.39
NVIDIA H100 PCIe,Data Center,23250,,,1.45,2.69
NVIDIA L4,Data Center,4550,,,0.22,0.43
NVIDIA L40,Data Center,8250,,,0.5,0.99
NVIDIA RTX 2000 Ada Generation,Workstation,700,,,0.14,0.28
NVIDIA GeForce RTX 5090,Consumer,5000,0.3,0.6,0.44,0.89
